"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-08-30","69","87","54"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-08-31","72","91","56"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-09-01","77","97","60"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-09-02","81","94","70"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-09-03","81","91","71"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-09-04","74","82","62"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-09-05","73","87","59"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-09-06","76","93","62"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-09-07","78","96","64"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-09-08","80","96","67"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-09-09","82","94","72"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-09-10","80","91","70"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-09-11","81","90","66"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-09-12","71","71","56"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-09-13","63","77","52"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-09-14","68","87","55"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-09-15","76","89","65"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-09-16","73","85","63"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-09-17","64","65","51"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-09-18","58","73","50"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-09-19","62","78","51"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-09-20","67","82","54"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-09-21","67","78","54"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-09-22","67","79","56"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-09-23","67","79","55"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-09-24","67","82","55"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-09-25","72","93","58"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-09-26","78","90","65"
